X,Y,Z
4093,-3642,19007
4122,-3669,19026
4071,-3682,19044
4102,-3712,19073
4042,-3718,19044
4064,-3740,19035
4009,-3748,19025
4036,-3775,19045
3969,-3772,18978
3998,-3802,19006
3951,-3817,19044
3971,-3838,19025
3923,-3853,19062
3940,-3872,19024
3889,-3883,19043
3913,-3909,19053
3852,-3910,19014
3873,-3933,19006
3824,-3946,19033
3842,-3966,19005
3789,-3973,19014
3810,-3998,19015
3754,-4003,19004
3782,-4034,19033
3722,-4034,19005
3750,-4066,19033
3697,-4074,19041
3722,-4104,19061
3663,-4104,19040
3691,-4137,19069
3628,-4132,19031
3651,-4161,19042
3593,-4160,19022
3609,-4182,18994
3557,-4188,19012
3581,-4218,19022
3530,-4225,19040
3544,-4244,19003
3494,-4253,19030
3516,-4282,19040
3457,-4280,19021
3487,-4318,19068
3423,-4309,19021
3441,-4333,19012
3389,-4339,19030
3413,-4371,19049
3352,-4365,19020
3373,-4393,19021
3320,-4397,19038
3345,-4432,19067
3284,-4424,19028
3302,-4450,19020
3247,-4449,19019
3267,-4480,19029
3215,-4483,19047
3231,-4508,19028
3174,-4503,19019
3195,-4535,19038
3138,-4530,19018
3165,-4572,19075
3107,-4565,19056
3124,-4593,19046
3061,-4578,18999
3084,-4615,19037
3036,-4621,19074
3050,-4645,19046
2992,-4638,19036
3007,-4663,19018
2954,-4662,19026
2971,-4691,19027
2920,-4693,19054
2933,-4717,19026
2875,-4706,18997
2904,-4755,19082
2841,-4736,19025
2857,-4765,19025
2804,-4763,19034
2817,-4787,19016
2764,-4784,19024
2779,-4812,19015
2728,-4811,19043
2739,-4832,19006
2695,-4845,19089
2702,-4861,19024
2647,-4852,19023
2666,-4889,19043
2605,-4868,18995
2624,-4907,19033
2573,-4905,19050
2581,-4923,19004
2532,-4924,19041
2543,-4948,19014
2488,-4936,19003
2506,-4974,19032
2448,-4957,19003
2464,-4993,19022
2410,-4983,19021
2426,-5019,19041
2372,-5008,19040
2383,-5033,19011
2333,-5031,19049
2341,-5052,19012
2289,-5044,19020
2305,-5082,19049
2246,-5058,19001
2260,-5093,19010
2206,-5080,19009
2223,-5123,19048
2161,-5090,18972
2183,-5144,19057
2126,-5124,19028
2144,-5168,19075
2081,-5131,18990
2097,-5173,19028
2044,-5161,19037
2054,-5187,19008
2002,-5178,19037
2013,-5208,19028
1959,-5192,19017
1971,-5226,19027
1917,-5208,19017
1928,-5240,19018
1874,-5222,19007
1888,-5263,19036
1834,-5243,19026
1844,-5274,19017
1791,-5258,19015
1802,-5291,19016
1747,-5269,18996
1760,-5309,19025
1707,-5290,19024
1720,-5335,19062
1665,-5308,19033
1674,-5338,19024
1621,-5319,19023
1631,-5353,19024
1579,-5335,19023
1592,-5380,19071
1536,-5349,19023
1547,-5392,19061
1495,-5370,19050
1503,-5404,19051
1449,-5375,19022
1462,-5425,19078
1405,-5383,19003
1414,-5423,19031
1367,-5417,19077
1370,-5434,19022
1322,-5425,19058
1326,-5447,19021
1276,-5429,19030
1285,-5469,19058
1230,-5429,18992
1239,-5471,19020
1189,-5455,19048
1196,-5491,19058
1141,-5448,18981
1151,-5497,19038
1101,-5475,19037
1106,-5501,19010
1057,-5482,19027
1062,-5516,19029
1017,-5515,19112
1020,-5535,19066
968,-5500,19027
975,-5545,19065
924,-5512,19036
930,-5549,19046
881,-5525,19044
885,-5555,19036
836,-5531,19034
841,-5575,19073
790,-5533,19015
796,-5578,19054
746,-5541,19015
749,-5573,19016
701,-5553,19034
705,-5588,19043
658,-5567,19061
660,-5591,19024
612,-5560,19014
616,-5606,19052
568,-5580,19061
571,-5610,19042
523,-5579,19032
525,-5608,19013
478,-5587,19041
480,-5622,19041
434,-5600,19069
435,-5627,19040
388,-5601,19058
390,-5633,19050
344,-5610,19067
345,-5643,19068
299,-5622,19095
299,-5645,19058
